"city_to_weather_id","address","date","weather","wind","temperature"
"326","北京","2019-01-05","晴","北风","-6"
"327","南京","2019-01-05","阴","西北风","2"
"328","天津","2019-01-06","阴","西南风","-4"
"329","北京","2019-01-06","多云","西南风","-6"
"330","南京","2019-01-06","小雨","西北风","0"
"331","天津","2019-01-07","多云","南风","-7"
"332","北京","2019-01-07","晴","东风","-10"
"333","南京","2019-01-07","阴","东北风","1"
"334","天津","2019-01-08","晴","西风","-4"
"335","北京","2019-01-08","晴","西北风","-4"
"336","南京","2019-01-08","阴","东北风","1"
"337","天津","2019-01-09","晴","南风","-5"
"338","北京","2019-01-09","晴","西风","-10"
"339","南京","2019-01-09","阴","东风","0"
"340","天津","2019-01-10","多云","西南风","-3"
"341","北京","2019-01-10","晴","西南风","-9"
"342","南京","2019-01-10","阴","东北风","-1"
"343","天津","2019-01-11","多云","西风","-3"
"344","北京","2019-01-11","多云","北风","-7"
"345","南京","2019-01-11","阴","东北风","2"
"346","天津","2019-01-12","多云","西南风","-5"
"347","北京","2019-01-12","多云","西南风","-6"
"348","南京","2019-01-12","阴","西北风","1"
"349","天津","2019-01-13","雾","西风","-4"
"350","北京","2019-01-13","多云","西南风","-9"
"351","南京","2019-01-13","多云","北风","-2"
"352","天津","2019-01-14","多云","南风","-6"
"353","北京","2019-01-14","多云","西风","-6"
"354","南京","2019-01-14","多云","北风","-1"
"355","天津","2019-01-15","多云","北风","-5"
"356","北京","2019-01-15","多云","北风","-11"
"357","南京","2019-01-15","阴","北风","2"
"358","天津","2019-01-16","晴","西风","-9"
"359","北京","2019-01-16","晴","西风","-9"
"360","南京","2019-01-16","阴","北风","-3"
"361","天津","2019-01-17","晴","西南风","-4"
"362","北京","2019-01-17","晴","西北风","-11"
"363","南京","2019-01-17","多云","北风","-4"
"364","天津","2019-01-18","多云","西风","-3"
"365","北京","2019-01-18","多云","南风","-6"
"366","南京","2019-01-18","晴","东南风","-2"
